pointX,pointY,size,angle,response,octave,classId
275.334,28.8804,39,273.932,37932.7,1,-1
194.643,57.5238,22,93.8307,27569.2,0,-1
193.735,58.9675,28,92.2838,25396.9,1,-1
172.106,56.7512,20,92.5612,24810.3,0,-1
120.429,66.4579,54,90.9889,23300.2,1,-1
72.041,57.5797,23,91.5729,22304.3,0,-1
214.037,64.7408,32,95.6988,21764.4,1,-1
213.947,64.0236,29,102.631,21500.5,0,-1
193.465,77.9971,21,343.893,21078.7,0,-1
120.598,66.1897,62,93.2452,19936.8,2,-1
72.5859,58.2028,26,85.6359,19026.9,1,-1
226.292,145.194,18,299.212,18132.5,0,-1
203.175,66.9329,75,92.225,16897.1,2,-1
294.244,13.8884,20,262.829,16192.8,0,-1
284.193,132.175,15,84.1225,15561.9,0,-1
270.256,22.7229,16,88.6322,13489.8,0,-1
283.528,23.9446,14,177.301,13254.3,0,-1
92.2943,145.76,23,175.92,13107.8,0,-1
94.1909,128.691,16,156.433,12428.5,0,1
254.766,65.4808,34,94.3391,12397.2,1,-1
112.826,116.483,89,182.056,12207.5,2,1
52.7627,43.9048,71,118.48,12020.5,2,1
291.606,86.4312,22,100.076,11887.8,0,-1
113.337,107.8,89,183.01,11823.2,2,1
130.238,63.6806,28,101.289,11588.6,0,-1
70.7608,148.449,17,263.815,11564.1,0,1
217.741,62.8087,20,102.358,11557.9,0,-1
49.6512,150.243,22,60.5596,11414.9,0,-1
246.202,132.459,15,83.5363,11310.8,0,-1
130.344,64.0252,33,95.478,10827.3,1,-1
29.3629,45.8336,22,121.118,10692.1,0,-1
282.131,68.8279,21,97.6548,10454.2,0,-1
252.001,143.163,69,271.775,10427.4,2,-1
54.6042,121.583,22,301.771,10269.9,0,-1
256.832,68.8605,22,261.544,10144.9,0,-1
28.511,48.0916,32,121.623,10060.1,1,-1
50.4777,53.8098,42,122.096,10052.6,1,1
91.5363,145.245,26,164.311,9720.57,1,-1
241.861,88.8817,36,83.2902,9375.3,1,-1
284.133,66.7532,30,93.9296,9240.02,1,-1
55.3852,55.6822,32,74.8965,8923.84,1,1
270.033,108.86,16,350.737,8744.59,0,-1
58.6932,56.6321,21,78.9534,8623.14,0,1
242.368,113.261,15,210.242,8489.63,0,1
192.157,142.565,27,145.962,8486.19,0,-1
254.646,95.604,16,235.019,8362.06,0,-1
36.501,134.277,21,267.321,8125.92,0,1
88.1159,57.5038,21,102.504,8101.11,0,-1
259.985,133.006,21,93.8582,7990.84,0,-1
230.658,171.055,56,107.926,7973.29,1,1
237.315,148.293,17,284.841,7809.87,0,-1
192.81,142.358,30,148.089,7654.5,1,-1
232.521,171.375,62,109.967,7617.65,2,1
209.368,69.9163,22,209.817,7572.99,0,-1
14.6192,67.2718,21,341.161,7512,0,-1
262.528,132.661,16,95.5281,7378.56,0,-1
273.903,87.2839,29,90.3049,7178.67,0,-1
264.06,95.5855,25,337.43,7151.98,0,1
134.687,64.9758,15,173.353,7033.12,0,-1
295.139,131.575,12,90.4363,6967.71,0,-1
274.376,88.8067,33,90.3246,6882.09,1,-1
222.077,13.5787,18,256.778,6845.17,0,1
292.611,69.4535,16,264.036,6473.99,0,-1
211.48,131.837,57,146.339,6286.07,1,1
105.815,61.851,17,67.0306,6235.34,0,-1
14.9543,65.3838,17,339.982,6193.88,0,-1
125.985,62.8589,17,101.106,6184.23,0,-1
184.936,73.018,20,343.612,6155.3,0,1
65.7759,126.825,23,253.874,6007.49,0,1
212.115,129.816,63,38.4909,5981.24,2,1
67.8306,131.659,32,331.685,5810.96,1,1
270.005,74.8406,34,91.7327,5802.57,1,1
240.423,95.8299,22,348.195,5786.38,0,-1
294.844,26.1853,31,241.022,5711.28,1,1
182.353,63.5355,14,343.313,5501.12,0,-1
267.444,146.937,13,224.84,5460.56,0,1
294.316,25.2314,27,247.894,5383.8,0,1
263.925,96.6374,30,224.931,5250.63,1,1
127.501,129.274,15,2.84427,5176.88,0,1
105.049,130.886,43,175.496,5110.58,1,1
68.8172,130.425,29,333.54,5071.21,0,1
293.426,23.3902,22,262.547,5010.98,0,1
201.205,116.667,124,110.703,4914.5,3,1
105.431,136.383,30,169.359,4879.64,1,1
273.22,132.561,15,90.6234,4837.23,0,-1
238.304,73.9694,38,87.551,4736.51,1,1
20.3203,111.99,15,353.478,4722.55,0,-1
213.24,158.976,30,167.366,4691.56,1,-1
257.835,26.1446,31,269.285,4641.44,1,1
152.204,57.5572,32,90.3859,4581.3,1,-1
99.0833,44.4657,59,89.7563,4580.04,2,1
277.236,106.506,19,224.954,4508.3,0,1
90.9099,156.847,23,275.219,4432.02,0,1
99.7838,44.3311,59,90.7454,4423.25,1,1
249.007,102.507,15,215.202,4407.09,0,1
40.9803,135.854,38,342.924,4384.79,1,1
149.819,57.3749,26,88.06,4335.52,0,-1
152.645,57.1651,30,88.6054,4320.58,0,-1
204.429,49.9796,31,91.4305,4206.26,1,1
182.462,69.1925,29,338.851,4187.52,1,1
185.31,150.032,16,84.0327,4036.99,0,1
179.638,50.2452,16,90.4536,3998.12,0,1
124.962,80.1902,13,323.696,3971.35,0,-1
232.308,106.473,16,347.322,3920.92,0,1
259.527,151.262,22,273.732,3919.51,0,-1
90.5772,159.577,17,98.9519,3885.89,0,1
284.843,98.2453,31,233.603,3811.1,1,1
